version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 148761668272 eni-045af756c5e415eed 179.43.150.154 172.31.63.114 55269 19608 6 1 40 1727282371 1727282390 REJECT OK
2 148761668272 eni-045af756c5e415eed 52.228.154.62 172.31.63.114 59442 138 6 1 40 1727282371 1727282390 REJECT OK
2 148761668272 eni-045af756c5e415eed 185.242.226.49 172.31.63.114 54320 5911 6 1 44 1727282371 1727282390 REJECT OK
2 148761668272 eni-045af756c5e415eed 172.31.42.170 172.31.63.114 80 54888 6 4 4431 1727282371 1727282390 ACCEPT OK
2 148761668272 eni-045af756c5e415eed 172.31.63.114 172.31.42.170 54888 80 6 5 396 1727282371 1727282390 ACCEPT OK
2 148761668272 eni-045af756c5e415eed 185.242.226.49 172.31.63.114 59701 5913 6 1 44 1727282371 1727282390 REJECT OK
2 148761668272 eni-045af756c5e415eed 172.31.42.170 172.31.63.114 80 7786 6 4 4431 1727282371 1727282390 ACCEPT OK
2 148761668272 eni-045af756c5e415eed 172.31.63.114 172.31.42.170 7786 80 6 5 396 1727282371 1727282390 ACCEPT OK
2 148761668272 eni-045af756c5e415eed 172.31.78.102 172.31.63.114 80 8090 6 4 4431 1727282371 1727282390 ACCEPT OK
2 148761668272 eni-045af756c5e415eed 172.31.63.114 172.31.78.102 8090 80 6 5 396 1727282371 1727282390 ACCEPT OK
2 148761668272 eni-045af756c5e415eed 149.50.106.170 172.31.63.114 49348 23 6 1 40 1727282371 1727282390 REJECT OK
2 148761668272 eni-045af756c5e415eed 185.242.226.49 172.31.63.114 60826 5912 6 1 44 1727282371 1727282390 REJECT OK
2 148761668272 eni-045af756c5e415eed 172.31.76.149 172.31.63.114 80 53868 6 4 4431 1727282371 1727282390 ACCEPT OK
2 148761668272 eni-045af756c5e415eed 172.31.63.114 172.31.76.149 53868 80 6 5 396 1727282371 1727282390 ACCEPT OK
2 148761668272 eni-045af756c5e415eed 172.31.37.198 172.31.63.114 80 35368 6 4 4431 1727282371 1727282390 ACCEPT OK
2 148761668272 eni-045af756c5e415eed 172.31.63.114 172.31.37.198 35368 80 6 5 396 1727282371 1727282390 ACCEPT OK
2 148761668272 eni-045af756c5e415eed 172.31.76.149 172.31.63.114 80 25786 6 4 4431 1727282371 1727282390 ACCEPT OK
2 148761668272 eni-045af756c5e415eed 172.31.63.114 172.31.76.149 25786 80 6 5 396 1727282371 1727282390 ACCEPT OK
2 148761668272 eni-045af756c5e415eed 185.242.226.49 172.31.63.114 51606 5905 6 1 44 1727282371 1727282390 REJECT OK
2 148761668272 eni-045af756c5e415eed 172.31.37.198 172.31.63.114 80 56736 6 4 4431 1727282371 1727282390 ACCEPT OK
2 148761668272 eni-045af756c5e415eed 172.31.63.114 172.31.37.198 56736 80 6 5 396 1727282371 1727282390 ACCEPT OK
